OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,ShipDate,DeliveryDate,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,OrderDate,Revenue,Revenue before Discount,Season,State
SO - 000111,Distributor,WARE-XYS1001,2017-12-31,2018-06-15,2018-06-20,23,21,17,38,6,0.1,124.62,201.0,2018-01-06,1085.4,1206.0,Spring,Minnesota
SO - 000112,In-Store,WARE-NMK1003,2018-10-04,2018-07-06,2018-06-17,10,21,152,40,5,0.15,"2,762.28",6277.9,2018-01-06,26681.075,31389.5,Spring,Massachusetts
SO - 000113,In-Store,WARE-PUJ1005,2018-10-04,2018-06-22,2018-02-07,4,36,317,39,5,0.05,641.66,1051.9,2018-01-06,4996.525,5259.5,Spring,California
SO - 000114,In-Store,WARE-PUJ1005,2018-10-04,2018-07-06,2018-06-15,8,17,291,32,6,0.15,216.41,254.6,2018-01-06,1298.4599999999998,1527.6,Spring,New Mexico
SO - 000115,In-Store,WARE-NMK1003,2017-12-31,2018-06-15,2018-06-20,9,32,138,6,6,0.15,"3,146.32",3932.9,2018-01-06,20057.79,23597.4,Spring,North Carolina
SO - 000116,In-Store,WARE-MKL1006,2017-12-31,2018-06-24,2018-02-07,5,11,354,25,3,0.05,700.69,1112.2,2018-01-06,3169.77,3336.6000000000004,Spring,New York
SO - 000117,In-Store,WARE-PUJ1005,2018-10-04,2018-06-19,2018-06-27,9,10,320,6,3,0.075,904.84,1239.5,2018-01-06,3439.6125,3718.5,Spring,Oklahoma
SO - 000118,In-Store,WARE-XYS1001,2018-10-04,2018-06-06,2018-06-14,8,30,21,3,4,0.1,393.96,984.9,2018-01-06,3545.64,3939.6,Spring,Iowa
SO - 000119,In-Store,WARE-MKL1006,2018-10-04,2018-07-06,2018-06-15,5,5,349,20,4,0.1,"4,130.01",5581.1,2018-01-06,20091.960000000003,22324.4,Spring,Texas
SO - 000120,Online,WARE-NMK1003,2017-12-31,2018-11-06,2018-06-17,14,23,134,24,4,0.05,"1,795.33",3095.4,2018-01-06,11762.52,12381.6,Spring,Texas
SO - 000121,Wholesale,WARE-NMK1003,2018-10-04,2018-06-18,2018-06-20,25,46,193,33,4,0.4,"1,754.06",2278.0,2018-01-06,5467.2,9112.0,Spring,Colorado
SO - 000122,In-Store,WARE-PUJ1005,2018-10-04,2018-10-06,2018-06-16,2,14,282,1,7,0.075,654.46,991.6,2018-02-06,6420.610000000001,6941.2,Spring,Pennsylvania
SO - 000123,In-Store,WARE-XYS1001,2018-10-04,2018-06-26,2018-06-28,7,40,20,35,2,0.2,"3,064.45",3979.8,2018-02-06,6367.68,7959.6,Spring,Indiana
SO - 000124,Distributor,WARE-UHY1004,2017-12-31,2018-06-22,2018-02-07,24,19,218,15,3,0.4,866.71,1969.8,2018-02-06,3545.64,5909.4,Spring,Oklahoma
SO - 000125,In-Store,WARE-NMK1003,2018-10-04,2018-06-16,2018-06-24,4,15,173,13,1,0.15,131.32,268.0,2018-02-06,227.79999999999998,268.0,Spring,Washington
SO - 000126,Online,WARE-NMK1003,2017-12-31,2018-06-21,2018-01-07,18,46,110,24,7,0.1,95.81,174.2,2018-02-06,1097.4599999999998,1219.3999999999999,Spring,North Carolina
SO - 000127,In-Store,WARE-UHY1004,2017-12-31,2018-06-26,2018-06-07,7,32,229,46,3,0.075,"2,510.09",2988.2,2018-02-06,8292.255,8964.599999999999,Spring,New Mexico
SO - 000128,In-Store,WARE-UHY1004,2017-12-31,2018-06-20,2018-06-29,9,32,238,36,4,0.05,"2,679.93",3999.9,2018-02-06,15199.619999999999,15999.6,Spring,Michigan
SO - 000129,Distributor,WARE-NMK1003,2018-10-04,2018-06-21,2018-06-22,20,22,97,37,3,0.05,"2,450.32",5976.4,2018-02-06,17032.739999999998,17929.199999999997,Spring,Michigan
SO - 000130,In-Store,WARE-NMK1003,2018-10-04,2018-06-27,2018-06-29,8,5,103,32,5,0.1,"2,378.90",2901.1,2018-02-06,13054.95,14505.5,Spring,Ohio
SO - 000131,In-Store,WARE-PUJ1005,2018-10-04,2018-06-26,2018-05-07,8,29,305,23,7,0.075,"2,734.61",6076.9,2018-03-06,39347.9275,42538.299999999996,Spring,Rhode Island
SO - 000132,Online,WARE-PUJ1005,2017-12-31,2018-05-06,2018-10-06,13,35,303,14,7,0.2,"4,186.70",5735.2,2018-03-06,32117.120000000003,40146.4,Spring,Kansas
SO - 000133,Online,WARE-UHY1004,2017-12-31,2018-06-30,2018-10-07,19,46,217,7,3,0.1,"2,077.34",3919.5,2018-03-06,10582.65,11758.5,Spring,Georgia
SO - 000134,Online,WARE-MKL1006,2017-12-31,2018-06-30,2018-05-07,17,42,362,46,1,0.05,"3,832.67",6083.6,2018-03-06,5779.42,6083.6,Spring,Oregon
SO - 000135,Wholesale,WARE-MKL1006,2018-10-04,2018-06-14,2018-06-15,26,2,335,40,5,0.075,"1,642.30",2566.1,2018-03-06,11868.212500000001,12830.5,Spring,Michigan
SO - 000136,Distributor,WARE-NBV1002,2017-12-31,2018-07-06,2018-06-13,22,28,84,38,2,0.075,"1,093.44",2278.0,2018-03-06,4214.3,4556.0,Spring,New Jersey
SO - 000137,In-Store,WARE-UHY1004,2017-12-31,2018-06-14,2018-06-21,7,46,256,1,1,0.075,120.2,261.3,2018-03-06,241.70250000000001,261.3,Spring,Texas
SO - 000138,Online,WARE-MKL1006,2017-12-31,2018-06-28,2018-08-07,12,22,360,17,8,0.05,698.81,998.3,2018-03-06,7587.079999999999,7986.4,Spring,Texas
SO - 000139,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-21,4,34,90,40,6,0.2,"1,958.54",3497.4,2018-03-06,16787.52,20984.4,Spring,Virginia
SO - 000140,In-Store,WARE-NMK1003,2017-12-31,2018-06-18,2018-06-28,9,26,196,25,4,0.05,486.89,1132.3,2018-03-06,4302.74,4529.2,Spring,New York
SO - 000141,In-Store,WARE-XYS1001,2017-12-31,2018-06-15,2018-06-17,7,26,40,2,7,0.05,"1,587.50",2405.3,2018-03-06,15995.245,16837.100000000002,Spring,Florida
SO - 000142,Distributor,WARE-MKL1006,2017-12-31,2018-06-24,2018-03-07,24,24,367,3,8,0.05,"3,249.97",5701.7,2018-03-06,43332.92,45613.6,Spring,Washington
SO - 000143,Distributor,WARE-UHY1004,2017-12-31,2018-09-06,2018-06-16,25,18,249,34,1,0.2,"1,446.80",2452.2,2018-04-06,1961.76,2452.2,Summer,Kansas
SO - 000144,In-Store,WARE-XYS1001,2017-12-31,2018-06-30,2018-04-07,11,21,6,11,3,0.05,"2,012.01",3095.4,2018-04-06,8821.89,9286.2,Summer,Ohio
SO - 000145,Online,WARE-UHY1004,2017-12-31,2018-12-06,2018-06-14,15,14,212,8,4,0.4,"2,164.90",3865.9,2018-04-06,9278.16,15463.6,Summer,Arkansas
SO - 000146,Distributor,WARE-XYS1001,2017-12-31,2018-10-06,2018-06-15,23,3,37,11,8,0.1,"1,382.88",2304.8,2018-04-06,16594.56,18438.4,Summer,Texas
SO - 000147,Online,WARE-XYS1001,2017-12-31,2018-06-21,2018-06-24,17,13,38,35,3,0.05,"1,470.11",3195.9,2018-04-06,9108.315,9587.7,Summer,Ohio
SO - 000148,Online,WARE-PUJ1005,2017-12-31,2018-06-19,2018-06-26,18,49,294,33,7,0.05,"5,161.68",6452.1,2018-04-06,42906.465000000004,45164.700000000004,Summer,Florida
SO - 000149,Distributor,WARE-NMK1003,2017-12-31,2018-06-14,2018-06-17,24,4,105,16,3,0.3,921.52,2003.3,2018-05-06,4206.929999999999,6009.9,Summer,New York
SO - 000150,Distributor,WARE-XYS1001,2018-10-04,2018-06-28,2018-07-07,23,20,17,8,8,0.05,"1,455.24",3638.1,2018-05-06,27649.559999999998,29104.8,Summer,Virginia
SO - 000151,In-Store,WARE-NMK1003,2018-10-04,2018-06-14,2018-06-17,4,19,109,44,3,0.075,"1,822.40",2278.0,2018-05-06,6321.450000000001,6834.0,Summer,Delaware
SO - 000152,Online,WARE-NMK1003,2018-10-04,2018-06-25,2018-06-29,16,25,141,22,6,0.3,582.5,924.6,2018-05-06,3883.32,5547.6,Summer,Illinois
SO - 000153,Online,WARE-NMK1003,2018-10-04,2018-06-21,2018-01-07,19,8,111,16,5,0.05,"3,062.44",3926.2,2018-05-06,18649.45,19631.0,Summer,Colorado
SO - 000154,Distributor,WARE-MKL1006,2017-12-31,2018-12-06,2018-06-18,23,24,349,25,4,0.075,"2,257.16",3825.7,2018-05-06,14155.09,15302.8,Summer,Florida
SO - 000155,Wholesale,WARE-MKL1006,2017-12-31,2018-03-07,2018-08-07,27,13,360,4,3,0.05,"1,377.32",2257.9,2018-05-06,6435.015,6773.700000000001,Summer,Florida
SO - 000156,Distributor,WARE-NMK1003,2017-12-31,2018-02-07,2018-08-07,24,32,148,33,8,0.075,756.3,1112.2,2018-06-06,8230.28,8897.6,Summer,Texas
SO - 000157,Online,WARE-NMK1003,2017-12-31,2018-06-22,2018-06-23,19,28,103,45,8,0.05,"1,814.43",3557.7,2018-06-06,27038.519999999997,28461.6,Summer,New Jersey
SO - 000158,Online,WARE-NBV1002,2017-12-31,2018-09-06,2018-12-06,13,8,59,45,3,0.4,"1,233.34",2371.8,2018-06-06,4269.24,7115.400000000001,Summer,California
SO - 000159,Online,WARE-NBV1002,2017-12-31,2018-01-07,2018-04-07,14,47,60,1,1,0.4,686.08,857.6,2018-06-06,514.56,857.6,Summer,Pennsylvania
SO - 000160,In-Store,WARE-UHY1004,2017-12-31,2018-06-14,2018-06-16,11,33,238,20,5,0.3,"2,880.60",3892.7,2018-07-06,13624.449999999999,19463.5,Fall,Illinois
SO - 000161,In-Store,WARE-NMK1003,2017-12-31,2018-06-13,2018-06-15,3,26,151,21,6,0.075,"1,390.92",3477.3,2018-07-06,19299.015000000003,20863.800000000003,Fall,Illinois
SO - 000162,Online,WARE-NMK1003,2017-12-31,2018-11-06,2018-06-21,13,20,152,44,5,0.1,"2,803.95",3738.6,2018-07-06,16823.7,18693.0,Fall,Arizona
SO - 000163,Online,WARE-PUJ1005,2018-10-04,2018-10-06,2018-06-13,20,6,262,8,5,0.3,589.6,1072.0,2018-07-06,3751.9999999999995,5360.0,Fall,Illinois
SO - 000164,In-Store,WARE-NMK1003,2018-10-04,2018-01-07,2018-02-07,5,40,120,46,7,0.05,"1,761.16",2257.9,2018-07-06,15015.035,15805.300000000001,Fall,Arizona
SO - 000165,Online,WARE-UHY1004,2018-10-04,2018-11-06,2018-06-13,18,23,233,46,3,0.1,751.61,1058.6,2018-07-06,2858.22,3175.7999999999997,Fall,New York
SO - 000166,Online,WARE-NBV1002,2018-10-04,2018-06-15,2018-06-25,13,38,77,39,4,0.1,"1,296.05",2492.4,2018-07-06,8972.640000000001,9969.6,Fall,California
SO - 000167,In-Store,WARE-NBV1002,2018-10-04,2018-06-13,2018-06-21,4,30,69,11,5,0.05,"2,465.60",3852.5,2018-07-06,18299.375,19262.5,Fall,New Jersey
SO - 000168,Distributor,WARE-UHY1004,2017-12-31,2018-06-19,2018-06-25,23,42,215,37,8,0.05,132.66,241.2,2018-08-06,1833.12,1929.6,Fall,South Carolina
SO - 000169,In-Store,WARE-XYS1001,2017-12-31,2018-11-06,2018-06-17,9,1,30,35,2,0.15,494.39,1051.9,2018-08-06,1788.23,2103.8,Fall,Mississippi
SO - 000170,Distributor,WARE-NMK1003,2017-12-31,2018-06-14,2018-06-19,25,11,169,10,5,0.3,107.07,227.8,2018-08-06,797.3,1139.0,Fall,Tennessee
SO - 000171,Distributor,WARE-MKL1006,2018-10-04,2018-06-14,2018-06-15,24,4,333,14,5,0.05,506.99,1078.7,2018-08-06,5123.825,5393.5,Fall,North Carolina
SO - 000172,Wholesale,WARE-NMK1003,2018-10-04,2018-06-13,2018-06-20,28,6,96,10,8,0.15,743.7,1005.0,2018-08-06,6834.0,8040.0,Fall,Montana
SO - 000173,Distributor,WARE-PUJ1005,2018-10-04,2018-03-07,2018-09-07,24,17,289,45,5,0.05,"1,317.42",2485.7,2018-08-06,11807.074999999999,12428.5,Fall,California
SO - 000174,In-Store,WARE-NMK1003,2018-10-04,2018-06-30,2018-06-07,3,7,140,22,3,0.05,"2,154.52",2659.9,2018-08-06,7580.715,7979.700000000001,Fall,South Dakota
SO - 000175,In-Store,WARE-NMK1003,2018-10-04,2018-06-28,2018-03-07,1,1,107,1,1,0.075,"1,579.32",2224.4,2018-09-06,2057.57,2224.4,Fall,Texas
SO - 000176,In-Store,WARE-MKL1006,2018-10-04,2018-12-06,2018-06-16,11,27,338,35,7,0.2,"1,260.87",2472.3,2018-09-06,13844.880000000003,17306.100000000002,Fall,Georgia
SO - 000177,In-Store,WARE-UHY1004,2018-10-04,2018-06-23,2018-06-24,5,33,232,15,5,0.05,799.24,1011.7,2018-09-06,4805.575,5058.5,Fall,Illinois
SO - 000178,Wholesale,WARE-UHY1004,2018-10-04,2018-05-07,2018-07-13,26,28,231,28,6,0.2,128.98,234.5,2018-09-06,1125.6000000000001,1407.0,Fall,Massachusetts
SO - 000179,Online,WARE-NMK1003,2018-10-04,2018-06-14,2018-06-17,13,42,158,11,4,0.075,143.72,261.3,2018-09-06,966.8100000000001,1045.2,Fall,Oregon
SO - 000180,Online,WARE-XYS1001,2017-12-31,2018-06-27,2018-01-07,18,5,36,29,7,0.1,"2,844.69",4006.6,2018-09-06,25241.58,28046.2,Fall,Nevada
SO - 000181,In-Store,WARE-UHY1004,2018-10-04,2018-05-07,2018-07-13,3,10,206,28,7,0.05,866.65,1333.3,2018-09-06,8866.445,9333.1,Fall,Georgia
SO - 000182,In-Store,WARE-UHY1004,2018-10-04,2018-07-07,2018-09-07,10,34,255,15,5,0.05,90.45,167.5,2018-10-06,795.625,837.5,Winter,Georgia
SO - 000183,Online,WARE-MKL1006,2018-10-04,2018-06-28,2018-02-07,14,23,336,27,7,0.075,"1,821.66",3195.9,2018-10-06,20693.4525,22371.3,Winter,Illinois
SO - 000184,Online,WARE-PUJ1005,2018-10-04,2018-06-30,2018-05-07,20,18,307,15,1,0.05,809.96,1051.9,2018-10-06,999.3050000000001,1051.9,Winter,Pennsylvania
SO - 000185,Online,WARE-XYS1001,2017-12-31,2018-06-30,2018-03-07,15,8,9,28,4,0.1,"3,540.62",5447.1,2018-10-06,19609.56,21788.4,Winter,South Carolina
SO - 000186,Online,WARE-NMK1003,2018-10-04,2018-06-16,2018-06-24,13,36,200,18,2,0.075,"1,973.15",3182.5,2018-10-06,5887.625,6365.0,Winter,Virginia
SO - 000187,In-Store,WARE-MKL1006,2017-12-31,2018-06-29,2018-01-07,6,47,337,30,3,0.1,632.68,891.1,2018-11-06,2405.9700000000003,2673.3,Winter,Pennsylvania
SO - 000188,Online,WARE-NMK1003,2017-12-31,2018-06-16,2018-06-19,15,27,158,31,2,0.2,"2,724.89",3892.7,2018-11-06,6228.32,7785.4,Winter,Connecticut
SO - 000189,Online,WARE-UHY1004,2017-12-31,2018-06-13,2018-06-16,13,5,249,8,2,0.4,"3,360.05",3953.0,2018-11-06,4743.599999999999,7906.0,Winter,Nevada
SO - 000190,Online,WARE-NMK1003,2017-12-31,2018-06-28,2018-07-07,20,38,185,5,2,0.3,545.51,924.6,2018-11-06,1294.44,1849.2,Winter,Indiana
SO - 000191,Online,WARE-NMK1003,2018-10-04,2018-07-07,2018-08-07,20,21,189,10,7,0.3,"1,989.63",3430.4,2018-11-06,16808.96,24012.8,Winter,California
SO - 000192,Distributor,WARE-NMK1003,2018-10-04,2018-06-28,2018-06-07,22,24,170,43,7,0.075,622.3,1152.4,2018-11-06,7461.790000000002,8066.800000000001,Winter,Louisiana
SO - 000193,Distributor,WARE-NMK1003,2018-10-04,2018-06-21,2018-06-24,21,25,130,37,4,0.1,922.59,1085.4,2018-11-06,3907.4400000000005,4341.6,Winter,Colorado
SO - 000194,In-Store,WARE-NMK1003,2017-12-31,2018-06-16,2018-06-22,5,11,149,15,5,0.1,"4,025.36",5031.7,2018-12-06,22642.65,25158.5,Winter,South Carolina
SO - 000195,Distributor,WARE-NMK1003,2018-10-04,2018-06-28,2018-03-07,24,17,99,33,7,0.15,436.84,1092.1,2018-12-06,6497.994999999999,7644.699999999999,Winter,Kansas
SO - 000196,Wholesale,WARE-XYS1001,2017-12-31,2018-06-25,2018-06-27,27,5,21,17,7,0.05,144.45,187.6,2018-12-06,1247.54,1313.2,Winter,Texas
SO - 000197,Online,WARE-NMK1003,2017-12-31,2018-09-07,2018-07-16,18,30,90,1,4,0.05,"2,835.17",3993.2,2018-12-06,15174.159999999998,15972.8,Winter,Georgia
SO - 000198,Online,WARE-MKL1006,2017-12-31,2018-06-15,2018-06-18,14,9,360,15,5,0.05,"1,433.93",2472.3,2018-12-06,11743.425,12361.5,Winter,New York
SO - 000199,In-Store,WARE-XYS1001,2018-10-04,2018-05-07,2018-07-14,4,47,23,47,4,0.05,844.2,1206.0,2018-12-06,4582.8,4824.0,Winter,Ohio
SO - 000200,Online,WARE-NMK1003,2017-12-31,2018-06-22,2018-06-29,20,5,144,40,5,0.05,985.3,1728.6,2018-12-06,8210.85,8643.0,Winter,Florida
SO - 000201,Wholesale,WARE-NMK1003,2017-12-31,2018-06-20,2018-06-29,28,23,134,23,7,0.075,"1,447.74",1983.2,2018-12-06,12841.220000000001,13882.4,Winter,Illinois
SO - 000202,Online,WARE-NMK1003,2018-10-04,2018-10-07,2018-07-14,20,14,180,11,2,0.2,"2,656.55",5313.1,2018-12-06,8500.960000000001,10626.2,Winter,Florida
SO - 000203,Distributor,WARE-XYS1001,2018-10-04,2018-06-17,2018-06-25,20,44,58,23,5,0.075,566.15,871.0,2018-12-06,4028.375,4355.0,Winter,New York
SO - 000204,Online,WARE-NMK1003,2017-12-31,2018-06-27,2018-01-07,12,38,175,43,2,0.1,"2,051.41",2532.6,2018-06-13,4558.68,5065.2,Summer,Oklahoma
SO - 000205,Online,WARE-NMK1003,2018-10-04,2018-06-25,2018-06-26,14,14,95,1,4,0.075,"4,673.72",5916.1,2018-06-13,21889.570000000003,23664.4,Summer,California
SO - 000206,Online,WARE-UHY1004,2017-12-31,2018-06-23,2018-01-07,13,34,231,31,1,0.075,"1,443.85",2887.7,2018-06-13,2671.1225,2887.7,Summer,Ohio
SO - 000207,In-Store,WARE-NMK1003,2017-12-31,2018-06-20,2018-06-22,1,13,199,11,7,0.1,"1,447.60",1855.9,2018-06-13,11692.170000000002,12991.300000000001,Summer,North Carolina
SO - 000208,In-Store,WARE-XYS1001,2018-10-04,2018-06-17,2018-06-19,2,5,58,39,5,0.1,135.01,207.7,2018-06-13,934.65,1038.5,Summer,Louisiana
SO - 000209,In-Store,WARE-MKL1006,2017-12-31,2018-06-29,2018-06-07,2,2,345,3,3,0.05,772.78,1058.6,2018-06-13,3017.0099999999998,3175.7999999999997,Summer,New York
SO - 000210,Online,WARE-UHY1004,2018-10-04,2018-03-07,2018-07-13,13,17,241,20,7,0.1,517.37,958.1,2018-06-13,6036.03,6706.7,Summer,Louisiana
SO - 000211,In-Store,WARE-NMK1003,2018-10-04,2018-08-07,2018-07-18,6,40,186,27,7,0.2,"1,675.74",2659.9,2018-06-13,14895.44,18619.3,Summer,Florida
SO - 000212,In-Store,WARE-NMK1003,2017-12-31,2018-05-07,2018-07-13,7,15,144,8,3,0.1,"1,707.63",2217.7,2018-06-13,5987.79,6653.099999999999,Summer,Arkansas
SO - 000213,Online,WARE-XYS1001,2017-12-31,2018-06-17,2018-06-20,20,12,40,11,1,0.3,857.6,1715.2,2018-06-14,1200.6399999999999,1715.2,Summer,Illinois
SO - 000214,In-Store,WARE-PUJ1005,2018-10-04,2018-06-07,2018-09-07,6,25,288,32,7,0.15,"1,691.15",3932.9,2018-06-14,23400.754999999997,27530.3,Summer,North Carolina
SO - 000215,In-Store,WARE-NMK1003,2017-12-31,2018-06-19,2018-06-20,2,13,169,40,2,0.05,"1,909.50",2546.0,2018-06-14,4837.4,5092.0,Summer,Ohio
SO - 000216,Online,WARE-PUJ1005,2017-12-31,2018-06-26,2018-01-07,15,18,277,21,1,0.075,603,837.5,2018-06-14,774.6875,837.5,Summer,Illinois
SO - 000217,Online,WARE-UHY1004,2018-10-04,2018-06-26,2018-05-07,16,3,219,12,3,0.15,"1,302.48",1809.0,2018-06-14,4612.95,5427.0,Summer,California
SO - 000218,Wholesale,WARE-PUJ1005,2018-10-04,2018-06-29,2018-03-07,26,25,306,11,8,0.075,514.56,857.6,2018-06-14,6346.240000000001,6860.8,Summer,New York
SO - 000219,In-Store,WARE-XYS1001,2017-12-31,2018-06-30,2018-07-07,8,11,7,22,6,0.05,"1,101.68",1748.7,2018-06-14,9967.59,10492.2,Summer,Arkansas
SO - 000220,Wholesale,WARE-NBV1002,2017-12-31,2018-06-16,2018-06-17,28,44,78,4,1,0.075,582.5,1266.3,2018-06-14,1171.3275,1266.3,Summer,Vermont
SO - 000221,In-Store,WARE-XYS1001,2017-12-31,2018-06-16,2018-06-22,3,30,28,9,5,0.1,"3,591.54",5058.5,2018-06-14,22763.25,25292.5,Summer,North Dakota
SO - 000222,Distributor,WARE-XYS1001,2018-10-04,2018-06-28,2018-06-07,22,38,39,6,7,0.05,795.22,958.1,2018-06-14,6371.365,6706.7,Summer,North Carolina
SO - 000223,Online,WARE-NMK1003,2017-12-31,2018-10-07,2018-07-14,19,47,122,2,8,0.15,756.97,1802.3,2018-06-14,12255.64,14418.4,Summer,Utah
SO - 000224,In-Store,WARE-XYS1001,2018-10-04,2018-07-07,2018-07-16,4,17,48,32,4,0.075,"4,534.56",6298.0,2018-06-15,23302.600000000002,25192.0,Summer,New Jersey
SO - 000225,Online,WARE-XYS1001,2017-12-31,2018-02-07,2018-06-07,18,28,1,30,1,0.1,"1,824.34",2499.1,2018-06-15,2249.19,2499.1,Summer,New York
SO - 000226,In-Store,WARE-NMK1003,2018-10-04,2018-06-19,2018-06-23,8,5,198,23,3,0.1,705.51,871.0,2018-06-15,2351.7000000000003,2613.0,Summer,Texas
SO - 000227,In-Store,WARE-UHY1004,2017-12-31,2018-12-07,2018-07-18,1,32,242,5,1,0.05,360.19,750.4,2018-06-15,712.88,750.4,Summer,South Carolina
SO - 000228,Wholesale,WARE-NMK1003,2018-10-04,2018-06-23,2018-06-27,27,21,200,14,8,0.075,504.11,763.8,2018-06-15,5652.12,6110.4,Summer,Kansas
SO - 000229,In-Store,WARE-PUJ1005,2017-12-31,2018-06-26,2018-02-07,5,49,304,25,6,0.1,565.61,844.2,2018-06-15,4558.680000000001,5065.200000000001,Summer,New York
SO - 000230,In-Store,WARE-XYS1001,2018-10-04,2018-05-07,2018-07-14,2,6,31,27,7,0.05,112.36,261.3,2018-06-15,1737.645,1829.1000000000001,Summer,Pennsylvania
SO - 000231,Online,WARE-NBV1002,2017-12-31,2018-06-07,2018-07-16,19,47,71,33,2,0.05,"2,359.94",3999.9,2018-06-15,7599.8099999999995,7999.8,Summer,Idaho
SO - 000232,In-Store,WARE-UHY1004,2017-12-31,2018-06-25,2018-03-07,4,32,250,18,6,0.05,811.91,1112.2,2018-06-15,6339.54,6673.200000000001,Summer,California
SO - 000233,In-Store,WARE-NMK1003,2018-10-04,2018-06-26,2018-04-07,10,18,167,2,2,0.075,"1,843.17",2633.1,2018-06-15,4871.235,5266.2,Summer,Maryland
SO - 000234,Distributor,WARE-NMK1003,2017-12-31,2018-09-07,2018-07-13,22,8,132,4,6,0.2,631.41,1018.4,2018-06-15,4888.32,6110.4,Summer,Oregon
SO - 000235,In-Store,WARE-XYS1001,2018-10-04,2018-06-27,2018-06-30,1,24,56,21,4,0.15,"3,444.74",5219.3,2018-06-15,17745.62,20877.2,Summer,Mississippi
SO - 000236,Distributor,WARE-UHY1004,2018-10-04,2018-07-13,2018-07-20,21,11,259,26,1,0.15,"2,359.94",3999.9,2018-06-15,3399.915,3999.9,Summer,New Jersey
SO - 000237,Online,WARE-MKL1006,2018-10-04,2018-06-27,2018-01-07,20,50,341,25,5,0.4,"1,084.80",1721.9,2018-06-16,5165.7,8609.5,Summer,North Carolina
SO - 000238,In-Store,WARE-NMK1003,2017-12-31,2018-05-07,2018-12-07,10,7,195,37,6,0.15,456.94,737.0,2018-06-16,3758.7,4422.0,Summer,Florida
SO - 000239,Online,WARE-XYS1001,2018-10-04,2018-07-07,2018-07-15,19,2,33,40,3,0.05,695.06,1219.4,2018-06-16,3475.29,3658.2000000000003,Summer,Michigan
SO - 000240,In-Store,WARE-PUJ1005,2017-12-31,2018-12-07,2018-07-17,2,18,279,41,8,0.05,712.88,891.1,2018-06-16,6772.36,7128.8,Summer,Utah
SO - 000241,In-Store,WARE-NMK1003,2018-10-04,2018-07-14,2018-07-18,7,28,148,9,1,0.15,743.43,978.2,2018-06-16,831.47,978.2,Summer,Illinois
SO - 000242,In-Store,WARE-NMK1003,2018-10-04,2018-01-07,2018-10-07,11,47,170,17,1,0.15,"1,657.45",3946.3,2018-06-16,3354.355,3946.3,Summer,New Jersey
SO - 000243,In-Store,WARE-NMK1003,2018-10-04,2018-05-07,2018-06-07,3,27,181,38,2,0.4,922.86,1299.8,2018-06-16,1559.76,2599.6,Summer,South Carolina
SO - 000244,Online,WARE-NBV1002,2018-10-04,2018-07-14,2018-07-24,19,21,77,12,4,0.05,"2,791.49",5815.6,2018-06-17,22099.28,23262.4,Summer,Connecticut
SO - 000245,In-Store,WARE-NMK1003,2018-10-04,2018-08-07,2018-10-07,3,43,122,23,6,0.15,655.26,1092.1,2018-06-17,5569.709999999999,6552.599999999999,Summer,New York
